,HYBAS_ID,SUB_AREA,elev_mean,slope_mean,slope_p95,geometry,Historical_TP_mean_1985-2005,Historical_TP_median_1985-2005,Historical_TP_max_1985-2005,Historical_TP_p95_1985-2005,Historical_TP_min_1985-2005,Historical_CWD_1985-2005,Historical_RX5day_1985-2005,Historical_R95p_1985-2005,SSP2 4.5_TP_mean_2020-2040,SSP2 4.5_TP_mean_2040-2060,SSP2 4.5_TP_mean_2060-2080,SSP2 4.5_TP_mean_2080-2100,SSP2 4.5_TP_median_2020-2040,SSP2 4.5_TP_median_2040-2060,SSP2 4.5_TP_median_2060-2080,SSP2 4.5_TP_median_2080-2100,SSP2 4.5_TP_max_2020-2040,SSP2 4.5_TP_max_2040-2060,SSP2 4.5_TP_max_2060-2080,SSP2 4.5_TP_max_2080-2100,SSP2 4.5_TP_p95_2020-2040,SSP2 4.5_TP_p95_2040-2060,SSP2 4.5_TP_p95_2060-2080,SSP2 4.5_TP_p95_2080-2100,SSP2 4.5_TP_min_2020-2040,SSP2 4.5_TP_min_2040-2060,SSP2 4.5_TP_min_2060-2080,SSP2 4.5_TP_min_2080-2100,SSP2 4.5_CWD_2020-2040,SSP2 4.5_CWD_2040-2060,SSP2 4.5_CWD_2060-2080,SSP2 4.5_CWD_2080-2100,SSP2 4.5_RX5day_2020-2040,SSP2 4.5_RX5day_2040-2060,SSP2 4.5_RX5day_2060-2080,SSP2 4.5_RX5day_2080-2100,SSP2 4.5_R95p_2020-2040,SSP2 4.5_R95p_2040-2060,SSP2 4.5_R95p_2060-2080,SSP2 4.5_R95p_2080-2100,SSP3 7.0_TP_mean_2020-2040,SSP3 7.0_TP_mean_2040-2060,SSP3 7.0_TP_mean_2060-2080,SSP3 7.0_TP_mean_2080-2100,SSP3 7.0_TP_median_2020-2040,SSP3 7.0_TP_median_2040-2060,SSP3 7.0_TP_median_2060-2080,SSP3 7.0_TP_median_2080-2100,SSP3 7.0_TP_max_2020-2040,SSP3 7.0_TP_max_2040-2060,SSP3 7.0_TP_max_2060-2080,SSP3 7.0_TP_max_2080-2100,SSP3 7.0_TP_p95_2020-2040,SSP3 7.0_TP_p95_2040-2060,SSP3 7.0_TP_p95_2060-2080,SSP3 7.0_TP_p95_2080-2100,SSP3 7.0_TP_min_2020-2040,SSP3 7.0_TP_min_2040-2060,SSP3 7.0_TP_min_2060-2080,SSP3 7.0_TP_min_2080-2100,SSP3 7.0_CWD_2020-2040,SSP3 7.0_CWD_2040-2060,SSP3 7.0_CWD_2060-2080,SSP3 7.0_CWD_2080-2100,SSP3 7.0_RX5day_2020-2040,SSP3 7.0_RX5day_2040-2060,SSP3 7.0_RX5day_2060-2080,SSP3 7.0_RX5day_2080-2100,SSP3 7.0_R95p_2020-2040,SSP3 7.0_R95p_2040-2060,SSP3 7.0_R95p_2060-2080,SSP3 7.0_R95p_2080-2100,SSP5 8.5_TP_mean_2020-2040,SSP5 8.5_TP_mean_2040-2060,SSP5 8.5_TP_mean_2060-2080,SSP5 8.5_TP_mean_2080-2100,SSP5 8.5_TP_median_2020-2040,SSP5 8.5_TP_median_2040-2060,SSP5 8.5_TP_median_2060-2080,SSP5 8.5_TP_median_2080-2100,SSP5 8.5_TP_max_2020-2040,SSP5 8.5_TP_max_2040-2060,SSP5 8.5_TP_max_2060-2080,SSP5 8.5_TP_max_2080-2100,SSP5 8.5_TP_p95_2020-2040,SSP5 8.5_TP_p95_2040-2060,SSP5 8.5_TP_p95_2060-2080,SSP5 8.5_TP_p95_2080-2100,SSP5 8.5_TP_min_2020-2040,SSP5 8.5_TP_min_2040-2060,SSP5 8.5_TP_min_2060-2080,SSP5 8.5_TP_min_2080-2100,SSP5 8.5_CWD_2020-2040,SSP5 8.5_CWD_2040-2060,SSP5 8.5_CWD_2060-2080,SSP5 8.5_CWD_2080-2100,SSP5 8.5_RX5day_2020-2040,SSP5 8.5_RX5day_2040-2060,SSP5 8.5_RX5day_2060-2080,SSP5 8.5_RX5day_2080-2100,SSP5 8.5_R95p_2020-2040,SSP5 8.5_R95p_2040-2060,SSP5 8.5_R95p_2060-2080,SSP5 8.5_R95p_2080-2100,PGA,suceptibility,hypsometri,landslide_count,landslide_density_km2
1596,6080078000,203.3,744.5003393455634,16.919108337831993,36.24628260622912,"POLYGON ((-77.60061642400161 8.119835769628022, -77.5895042966986 8.121449936893068, -77.58449232512899 8.125115300111066, -77.58271759024122 8.13132683687855, -77.57832531641284 8.136811507861584, -77.55617255648349 8.1381180437428, -77.55116050879064 8.141778979856465, -77.54938131551022 8.14799498483519, -77.54645167799862 8.152008134139201, -77.54583185487952 8.154166363962998, -77.54362465878789 8.15360005803085, -77.53425157965715 8.14525264882714, -77.53276676067512 8.139455747077038, -77.52973451342359 8.135545153461331, -77.52828532946802 8.129904360069938, -77.52008504158047 8.128597907417634, -77.5147117962239 8.132767088067785, -77.50195430048906 8.133899744129193, -77.48554479775973 8.14943082339195, -77.47173502010942 8.15066152264348, -77.46998259689396 8.157483894122079, -77.46445775001749 8.158901946826731, -77.4605426311565 8.16193409545223, -77.45612367176767 8.16306668581086, -77.45220861877117 8.16609887077321, -77.43423838849303 8.167302881526807, -77.43333321892855 8.170834466608616, -77.43117498508929 8.170214667708096, -77.42708159336827 8.167227066780082, -77.42299260961748 8.170214685225243, -77.41759256807295 8.171757471091189, -77.41567521096434 8.17847288482218, -77.39783880484308 8.179783891106524, -77.38549149185049 8.191047571609056, -77.37700584844457 8.1922827801428, -77.37130264872208 8.19645202266891, -77.36450702740179 8.195216811610898, -77.35880382661928 8.191047555565145, -77.35200817477423 8.192282767988594, -77.34799496045015 8.195216867333395, -77.33117522891295 8.196451996420135, -77.32716199759275 8.19938161625289, -77.32284118263419 8.200616827526495, -77.31882792749965 8.203550883141308, -77.30912941044477 8.204959939514834, -77.30751967653633 8.21601850836228, -77.28333348691388 8.216665100692941, -77.27916869064418 8.21666513972474, -77.27254691775656 8.216312885140026, -77.26285289814409 8.206592015225075, -77.26214833678254 8.193410922879576, -77.2545188112435 8.185759055835181, -77.25416654997532 8.179168561126913, -77.25416654997532 8.158331167787525, -77.27083462125177 8.158331177965437, -77.28131353009951 8.157702442453791, -77.2853534966031 8.15479510644557, -77.28964764396753 8.153537651026017, -77.29368758616269 8.150630256699168, -77.29921681413178 8.149007211474002, -77.30063039615483 8.139518215230193, -77.30909373620685 8.129922205633063, -77.32297939299511 8.128535445759299, -77.32708172103978 8.12558349933322, -77.33275370183578 8.129663598817716, -77.34507867343979 8.128406104968235, -77.34583224297556 8.120834537383855, -77.34804402901811 8.121400877451984, -77.35195463928859 8.124433088115136, -77.35637802402104 8.125565659752874, -77.3602887043691 8.128597856051966, -77.37157912936155 8.129734943053514, -77.37695679212064 8.12556571429858, -77.3965813430365 8.124433110168777, -77.40195451647395 8.128597862942044, -77.42991307068418 8.129734899781667, -77.43529073329056 8.125565662753248, -77.45491525634966 8.124433051859132, -77.46028851059056 8.128597854282285, -77.48018051702375 8.129734918843917, -77.49778948955885 8.113066787955269, -77.50220850357424 8.1119341929254, -77.51445762100447 8.100567923757408, -77.54492223251889 8.099390727068256, -77.54640260660994 8.093620668056822, -77.55095985784587 8.088153863352064, -77.55833516528888 8.08749831712669, -77.56075652799974 8.087855060143722, -77.56840834135184 8.095480138501081, -77.58158939140465 8.09618465297057, -77.58507643556227 8.099644955917116, -77.58992347384061 8.100353944984866, -77.59341052312762 8.10381418857074, -77.59583174734522 8.104166462675844, -77.59583174734522 8.10833123000182, -77.59924744577583 8.109307833175489, -77.60061642400161 8.119835769628022))",2062.375244140625,2086.412109375,2449.5859375,2392.40234375,1685.844970703125,53.64285659790039,99.85411071777344,413.070556640625,2170.259765625,2210.5859375,2218.158447265625,2211.34765625,2164.72607421875,2183.71875,2217.5263671875,2186.39794921875,2631.369140625,2654.366455078125,2667.728271484375,2721.79296875,2559.619140625,2586.420654296875,2515.828857421875,2602.684814453125,1726.494873046875,1858.0855712890625,1780.21728515625,1818.724853515625,57.25357055664063,61.5821418762207,53.400001525878906,53.01785659790039,107.37126922607422,110.542236328125,113.7618408203125,114.3155517578125,441.5868225097656,457.2971801757813,473.1716918945313,474.4473876953125,2166.274658203125,2150.40576171875,2136.1015625,2153.295166015625,2149.98681640625,2154.455078125,2127.4599609375,2169.408203125,2582.767578125,2648.61474609375,2624.28662109375,2733.505859375,2487.6162109375,2472.66650390625,2524.765380859375,2603.6083984375,1766.7142333984375,1719.1256103515625,1647.2899169921875,1684.900390625,59.07500076293945,60.26071548461914,53.85357284545898,56.61785888671875,105.9953155517578,109.09835815429688,112.18521118164062,117.30529022216795,442.3124694824219,458.0854797363281,467.9000244140625,491.396728515625,2168.66943359375,2159.200439453125,2170.10791015625,2190.16845703125,2194.815673828125,2153.67431640625,2178.8603515625,2194.761474609375,2571.68115234375,2640.56396484375,2692.5341796875,2658.30078125,2506.3515625,2493.587890625,2537.607666015625,2588.600341796875,1752.235595703125,1702.3773193359375,1695.23046875,1710.5303955078125,57.639286041259766,54.7071418762207,55.92857360839844,58.14285659790039,109.11100006103516,109.71986389160156,116.70333862304688,125.09771728515624,445.4143371582031,456.474853515625,481.3402404785156,507.4631958007813,0.3364946158572147,3.3754152823920265,0.394651723039202,0.0,0.0
356,6080125460,1439.9,1902.2107287726,18.444283147684718,38.74322291360136,"POLYGON ((-75.38785437471739 4.751711719444571, -75.38368514256682 4.755907707466718, -75.38298058003747 4.7690933053035405, -75.37952033188814 4.772575863571076, -75.37881130303401 4.781592164237272, -75.37535549601174 4.785074683751486, -75.3749988376699 4.791665294504122, -75.37168569963475 4.790818024602617, -75.3708339669119 4.7875004329628394, -75.3642434615586 4.787148178458974, -75.36075645787008 4.783687946200857, -75.35590937065153 4.782978961148576, -75.33575874269756 4.762855028160415, -75.32674238606633 4.762146012197105, -75.32325986483633 4.758685794482712, -75.31840838567351 4.757981187837093, -75.31458240029606 4.754182071626748, -75.31075649750073 4.757981251276118, -75.30174018379998 4.758685754525649, -75.29754421916996 4.7628549929195065, -75.29341061096963 4.762146004821936, -75.28992359643846 4.758685743781798, -75.28333308009876 4.758333472488419, -75.28090730829477 4.758685771117532, -75.27325996376477 4.766315275267683, -75.26250012150835 4.766667544378156, -75.25590959217902 4.767019789180217, -75.24754879472687 4.775353849059478, -75.2434107332902 4.774644882808936, -75.23921469789092 4.770480086009236, -75.22674262751845 4.771184617438918, -75.22325562460249 4.774644873601204, -75.20833542381676 4.77500157588862, -75.20744806235565 4.77154136823536, -75.19671945781849 4.7701233878181375, -75.19526578737994 4.764455865666319, -75.18806882884833 4.756375906482259, -75.18679353612116 4.746721972329832, -75.17956083320219 4.744866998690188, -75.17556550733579 4.739712260154189, -75.17411181860754 4.734040330130968, -75.14804395105514 4.708899928022974, -75.14362498363538 4.707767301821565, -75.13970989411338 4.704735093925224, -75.12916854568789 4.704168800425759, -75.12257355382467 4.704521076354444, -75.11004792464631 4.717019942887924, -75.10174064311447 4.716315416803218, -75.09825808245742 4.71285511578805, -75.09341100708764 4.712146114889487, -75.08992398667249 4.708685892719451, -75.08333342147343 4.708333619135368, -75.06424408614808 4.7086858703514, -75.06075705094666 4.712146140500455, -75.04757591036163 4.712855153032201, -75.0433799168418 4.717019912255372, -75.03507709277736 4.716315393312273, -75.03088103933989 4.712146110963849, -74.9975760488339 4.712855133493844, -74.99337999783987 4.717019901583387, -74.97674308012849 4.716315374447652, -74.97325610805169 4.712855086817382, -74.96840908767678 4.712146087293242, -74.96492648411618 4.708685844003813, -74.96004381110782 4.707976849276676, -74.95035418676339 4.6982560511011835, -74.94964518021443 4.685048181908443, -74.93575953360407 4.671184830486311, -74.92916452706238 4.6708325627502605, -74.86840920939245 4.670480272610227, -74.86492224318164 4.66702004106178, -74.86250098049818 4.666667784527721, -74.86193463099774 4.656121974736154, -74.85473315848571 4.64804209138787, -74.85360058268878 4.643623150315695, -74.8463991035382 4.635543233837544, -74.8448651568611 4.629563599029151, -74.83958114641685 4.625470118680357, -74.83407867104947 4.629733010781448, -74.82587834416606 4.628426535527531, -74.82403227310935 4.621229508202928, -74.81887755269237 4.617234176802914, -74.81666581314663 4.616667846939646, -74.81666581314663 4.61249861177074, -74.81666581314663 4.608333750454037, -74.81723213909324 4.606122079970769, -74.82026429300981 4.602211473598984, -74.82153963403938 4.592553064336255, -74.82877227176762 4.590698079386822, -74.83276763844448 4.585543318940912, -74.83390026770016 4.572790330853351, -74.83693247379988 4.568875168001867, -74.8374987305313 4.566667979312365, -74.8532527415091 4.566057048427617, -74.85506761130917 4.55899384848485, -74.86887747570078 4.557767616860654, -74.87403215383407 4.5537722641526015, -74.87585152366371 4.546682294549114, -74.88137633870389 4.5452642660989735, -74.90195504497244 4.525568395210814, -74.91324554240505 4.524431333407009, -74.91862316549454 4.528600615521872, -74.92083487414722 4.529166885242931, -74.92175344472521 4.525581786648282, -74.93112206980217 4.5172343704466975, -74.93554547502521 4.516097303603344, -74.94779015475098 4.5047354573445535, -74.95741286934809 4.5034601897432704, -74.96193445646112 4.498042384436202, -74.96306708524968 4.4936233976936775, -74.96609922047232 4.489708326784762, -74.96751726507416 4.484183514996483, -74.97304200970439 4.482765521562672, -74.98529117166412 4.471399253212148, -74.98971015811019 4.470266630154843, -74.99362081700647 4.467234482939699, -74.9980442116204 4.46609737559131, -75.01862295045288 4.446401542423409, -75.02304191427937 4.445264425022871, -75.02695702305229 4.44223225579002, -75.04076691342318 4.441006050432565, -75.0416676004483 4.437501193931517, -75.04825819345024 4.43714886152575, -75.05590999276166 4.429519364157879, -75.07325591044633 4.428814806614173, -75.07674293971887 4.425354559497921, -75.10416634410426 4.424997820711955, -75.17916845633549 4.424997844903586, -75.18005580017164 4.428458147203345, -75.18970974778982 4.429733448868744, -75.19362483767115 4.432765615397665, -75.2147119726937 4.43390269691949, -75.22278741459156 4.441099647492035, -75.23137558117575 4.442232235937253, -75.2451675935813 4.455136919481554, -75.2464027961682 4.467680363446754, -75.22973465534419 4.485289324896643, -75.22859760608087 4.489708309833553, -75.22556540440985 4.493623428964033, -75.22443277615129 4.498042401315546, -75.2214005823585 4.501957495966934, -75.22083425410322 4.508333949173302, -75.22414743656904 4.509185641948075, -75.22556540440985 4.514710496693791, -75.23008693238678 4.5201283229226235, -75.23970965365838 4.521399120596884, -75.24362473375706 4.52443135044805, -75.25000126016714 4.525002094129568, -75.25061661807537 4.527160290275526, -75.25355068363454 4.531173516313629, -75.25478590844575 4.535494362183228, -75.25771553353366 4.539507599342475, -75.25895072512517 4.5563272588617325, -75.26188036041793 4.5603404850256, -75.26342766683096 4.565740487116127, -75.26882763068919 4.567283286852059, -75.27284076662627 4.570217425264591, -75.28132648354133 4.571452544981904, -75.2865837876471 4.5752918501202435, -75.28811767561032 4.584071811356457, -75.27978362825358 4.593672236909828, -75.27854842513668 4.611134075193026, -75.28657479928403 4.613426100957622, -75.28811767561032 4.6188260232597855, -75.29104729157135 4.622839238518106, -75.29228248354913 4.627160127524805, -75.29521655872027 4.631173303526747, -75.29645171725379 4.635494141455239, -75.29938135262739 4.639507395529763, -75.30080379230864 4.649263857280175, -75.3146582091139 4.650619460579514, -75.3228407149043 4.657713842186654, -75.32499891105924 4.658333680136938, -75.33750218415258 4.658333667210181, -75.33785448199117 4.66075944034367, -75.34337486538155 4.666306594868, -75.34583185360572 4.666667777745441, -75.34668354810526 4.669980868098009, -75.35000105484527 4.670832527778847, -75.35035332387488 4.673258319606277, -75.35587814797907 4.678809861852797, -75.36075645787008 4.679518891461517, -75.3642434615586 4.682979142665102, -75.36909046155074 4.683688141084315, -75.38090707319374 4.695477970058985, -75.38333286171537 4.695834752979182, -75.38393932501769 4.7115886954694215, -75.3875021035318 4.712498400079803, -75.3875021035318 4.7166676383119635, -75.38714538476928 4.7190889115416494, -75.38368514256682 4.72257596632634, -75.38298058003747 4.727423002269058, -75.37918147130111 4.731248893718659, -75.38298058003747 4.735074787342184, -75.38368514256682 4.739926342987573, -75.38714538476928 4.743408877171277, -75.38785437471739 4.751711719444571))",1889.0155029296875,1882.4915771484373,2393.22216796875,2248.60107421875,1481.1751708984375,29.397958755493164,91.7571258544922,380.1181945800781,1912.8592529296875,1863.4097900390625,1882.242919921875,1914.2052001953125,1899.8189697265625,1863.7237548828125,1889.8719482421875,1879.2567138671875,2465.24072265625,2403.132080078125,2346.175048828125,2518.281005859375,2340.834228515625,2259.186279296875,2225.739501953125,2331.789306640625,1375.9205322265625,1452.4583740234375,1433.810302734375,1489.5184326171875,28.296937942504883,28.01428604125977,27.695919036865234,27.67142868041992,95.9325714111328,94.10001373291016,100.66363525390624,100.0081558227539,400.6278991699219,397.4899291992188,418.9245300292969,424.114013671875,1869.0584716796875,1823.4921875,1800.520751953125,1770.0938720703125,1857.3013916015625,1806.9810791015625,1818.7882080078125,1747.488037109375,2359.831787109375,2337.63916015625,2353.601806640625,2387.207275390625,2234.608154296875,2194.620361328125,2232.039306640625,2206.861572265625,1394.7115478515625,1340.6116943359375,1298.088623046875,1322.3497314453125,28.460205078125,26.72142601013184,26.30918502807617,24.96938705444336,94.28654479980467,93.5126953125,98.52668762207033,101.06898498535156,396.8009338378906,392.4670104980469,411.96240234375,426.6643371582031,1907.8033447265625,1841.2742919921875,1792.886474609375,1758.9853515625,1882.315673828125,1822.3834228515625,1790.032470703125,1727.002685546875,2493.614501953125,2442.708984375,2296.614501953125,2346.307373046875,2327.20849609375,2280.88427734375,2183.993408203125,2208.255126953125,1450.034912109375,1396.5272216796875,1349.3189697265625,1273.5433349609375,29.406124114990234,26.62755012512207,24.43265151977539,23.812244415283203,94.3200454711914,96.97258758544922,102.06133270263672,105.5015106201172,398.7030944824219,403.3955078125,422.9841918945313,443.374755859375,0.2372307491473697,3.630076838638858,0.335912423146926,69.0,0.04791999444405861
379,6080135740,21.7,527.3748031299515,13.098311092351262,38.74394971270894,"POLYGON ((-74.87083502502523 4.008334954932814, -74.87083502502523 4.012499765539619, -74.86666578012758 4.012499817040035, -74.85591034375729 4.012852049598059, -74.85171439661747 4.017021325101321, -74.83090816766784 4.0163123301226555, -74.82742567574988 4.012852063342282, -74.81840932328682 4.01214749430014, -74.81492237395537 4.0086872417939965, -74.7892423516733 4.007978290356673, -74.78575979065691 4.0045180119251516, -74.78333406912265 4.004165752031393, -74.7836863419252 3.9975752027055576, -74.78714662834274 3.9940926366047123, -74.7878511571224 3.9892411349121386, -74.7913113571849 3.985758562541053, -74.7920248845235 3.98087581981445, -74.79757642104775 3.9753554769740287, -74.80000220322727 3.9749987751267866, -74.80242348691334 3.975355458774161, -74.80591051985999 3.9788112763516454, -74.81075752154096 3.9795202449288243, -74.81424009543021 3.982980558412609, -74.8190915846901 3.98368505468223, -74.83507742282427 3.9996486904511013, -74.83921105410232 4.000353201417161, -74.84340705099982 3.9961883994251988, -74.845832788039 3.9958316930414646, -74.84668449154864 3.9991492382473246, -74.85220930280691 4.000567212699733, -74.85612441709547 4.003599434816405, -74.86666578012758 4.004165713448752, -74.86666578012758 4.008335005624746, -74.87083502502523 4.008334954932814))",1943.07763671875,1933.79345703125,2443.338623046875,2288.310546875,1525.9879150390625,30.58571434020996,99.49143981933594,402.66412353515625,1952.488525390625,1895.7947998046875,1909.3162841796875,1941.2542724609373,1943.896728515625,1904.5413818359373,1902.6536865234373,1906.69384765625,2519.923828125,2409.98876953125,2360.3017578125,2523.642822265625,2386.5517578125,2281.6123046875,2262.6591796875,2358.82861328125,1412.2325439453125,1480.942138671875,1453.9954833984375,1514.3857421875,28.950000762939453,29.11428451538086,29.757143020629883,28.99285697937012,102.98190307617188,102.35076904296876,108.17022705078124,105.0758285522461,419.16253662109375,418.0977783203125,436.890380859375,437.6818237304688,1911.5501708984373,1848.683837890625,1806.2596435546875,1773.4305419921875,1896.277099609375,1827.6514892578125,1820.57080078125,1743.6064453125,2381.75537109375,2365.37060546875,2364.02490234375,2370.070556640625,2274.17236328125,2240.626953125,2243.34619140625,2222.48974609375,1416.7025146484375,1355.1485595703125,1295.29345703125,1322.1527099609375,29.84642791748047,28.075000762939453,26.807144165039062,26.317855834960938,102.2527847290039,101.01715087890624,103.18063354492188,108.1651382446289,417.3195495605469,413.0416259765625,425.10791015625,441.20556640625,1952.414306640625,1865.867919921875,1804.554443359375,1753.564208984375,1929.82666015625,1852.0185546875,1795.7684326171875,1728.708984375,2542.6669921875,2402.853515625,2302.7568359375,2353.392578125,2368.7412109375,2300.8271484375,2197.407958984375,2199.0732421875,1476.98974609375,1431.133544921875,1355.7333984375,1250.080322265625,29.85357093811035,27.17142868041992,25.775001525878903,25.64285659790039,103.33761596679688,105.79306030273438,107.84104919433594,111.0139617919922,422.0158386230469,424.4742126464844,436.7381591796875,454.7124633789063,0.1980596371509717,3.340909090909091,0.287260745927954,0.0,0.0
