ID,Latitud,Longitud,Longitud_road,Latitud_road,road_density,road_min_distance,Longitud_river,Latitud_river,river_density,river_min_distance
1,5.29826021194458,-75.24790954589844,-75.2452819,5.2871139,0.07976078577289214,1266.5509256187736,-75.2445014,5.2973613,0.6120899375023571,390.64262922729404
2,5.760000228881836,-72.79000091552734,,,0.0,,-72.78348795845878,5.767556446481463,0.39704360933570715,1103.9156031951704
3,4.865983009338379,-75.62279510498047,-75.62202016630737,4.86621571844674,1.154667776399716,89.72343645860892,-75.6239343,4.8649876,3.164561543902111,167.58489988465982
4,5.710000038146973,-75.31999969482422,-75.3114765,5.709044,0.613546276071144,950.0226090046582,-75.321537,5.709551,1.0921534514941476,177.3831294485296
5,7.710841178894043,-74.75316619873047,,,0.0,,-74.7557576,7.7073835,0.5591063817281703,477.45417107451385
6,4.808717250823975,-75.69059753417969,-75.69062028062848,4.80871966763161,5.40825600817691,2.539137741870129,-75.6933623,4.8044595,1.6589974134317214,561.9158791182442
7,6.670000076293945,-75.80999755859375,-75.8151243,6.6695156,0.5779924630598244,569.3986176317487,-75.809118,6.667905,1.1143672337986081,251.28007286117293
8,5.989999771118164,-72.75,-72.7480812,5.9908626,0.626855840474973,232.89008915742764,-72.74965356611833,5.9901677821274,0.7796330442869159,42.62315622427342
9,4.710988521575928,-74.07209014892578,-74.07208136770396,4.710894300502057,3.875712891696378,10.468219257784677,-74.0651397,4.7115467,0.9124932619408062,773.5926311377931
10,4.982729911804199,-75.60526275634766,-75.60536932538555,4.98214712370864,1.2904461122090742,65.52485285517778,-75.60631044120527,4.981169147075763,1.2633557728960025,208.06325413123966
11,6.041009902954102,-75.70274353027344,-75.7068289,6.0406924,0.48650610844027037,453.6360572120154,-75.7016319,6.0422548,2.438276703446606,184.64990445406437
12,6.460000038146973,-74.41000366210938,,,0.0,,-74.41210151308073,6.460276141093163,0.674117935681044,234.0564545941744
13,6.538710117340088,-75.09664154052734,-75.09664153784372,6.5392494,0.5447330888402587,59.63384882733453,-75.09669807021005,6.538484895360947,1.9680611083024941,25.684368783809944
14,3.349999904632568,-76.54000091552734,-76.53050566932545,3.3489133163015237,0.6220027019973282,1062.0265896997012,-76.531583,3.3596098,0.012129219148942156,1415.7422263445874
15,6.260000228881836,-75.5999984741211,-75.59763419506955,6.259468005536973,2.5050637691819992,268.1693798232768,-75.59926840797256,6.2598271454245795,1.8838383740502047,83.02497795976143
16,4.570909976959229,-74.1247787475586,-74.1248379559334,4.570930522078551,2.708527391930488,6.94831229653307,-74.1258713,4.5584787,0.12616458127324,1380.0059180725368
17,4.630000114440918,-74.44999694824219,-74.4518935,4.632639,0.6566794947952449,359.77201100917586,,,0.0,
18,4.444675922393799,-75.24243927001953,-75.24245919866198,4.444690415500209,2.8709362400488305,2.7301567507799755,-75.2450449,4.4420141,0.7370699821441772,412.6427548574742
19,4.605672836303711,-74.05552673339844,-74.0592734,4.6019595,1.998369719757651,584.3406857547641,-74.0560618,4.606388,1.226193152552379,98.88603612804462
20,6.050000190734863,-75.19000244140625,-75.19680390831465,6.051548151344721,0.5074407729621869,772.1596597206617,-75.188295,6.051497,2.115601169354841,251.2488231104295
21,6.25,-75.5999984741211,-75.59995435790587,6.250062697494489,2.7275557778602795,8.475124633466997,-75.6004858,6.2505654,1.963188575838483,82.5678014695214
22,4.994736671447754,-75.80410766601562,-75.808854,4.99918,0.5465391885352684,720.0617367048881,,,0.0,
23,6.210000038146973,-75.73999786376953,,,0.0,,-75.7381556,6.2106395,1.0982129239457064,215.7963511044829
24,4.480000019073486,-75.63999938964844,,,0.0,,-75.634943,4.4840705,0.6659475296271989,719.3797147761852
25,5.690000057220459,-76.66000366210938,-76.65647690708266,5.689651024144826,0.5011764040837482,392.5725686238112,-76.6577823,5.6877327,1.3293726988748324,351.3105935301272
26,4.710988521575928,-74.07209014892578,-74.07208136770396,4.710894300502057,3.875712891696378,10.468219257784677,-74.0651397,4.7115467,0.9124932619408064,773.5926311377931
27,6.639999866485596,-76.05999755859375,,,0.0,,-76.06003363885604,6.640054226452627,1.9309319045174496,7.21287318830876
28,4.81522274017334,-75.69327545166016,-75.69334743138607,4.814570772158263,5.590836621047654,72.54046985473438,-75.691123,4.8196189,0.8043706976943142,541.6041597460352
29,6.175238132476807,-75.58087158203125,-75.5808570626264,6.175232846691911,3.5849610912764915,1.7098367057611266,-75.58072336360645,6.175186103530271,1.3378588332388714,17.384060642511137
30,5.062974452972412,-75.50276947021484,-75.50298079577522,5.064087362340764,6.659758414182648,125.27660301620719,-75.498953,5.0599938,1.0953647910332975,536.4170266740101
31,4.320000171661377,-74.77999877929688,,,0.0,,-74.7759981,4.3251466,0.42858364940227617,721.8634347959936
32,5.166440486907959,-75.52054595947266,-75.5182171,5.1671585,0.658141656210635,270.13103351211515,,,0.0,
33,6.260000228881836,-75.62000274658203,,,0.0,,-75.6186030139489,6.260954408971496,1.4102412700766656,187.41745129535414
34,6.139999866485596,-75.18000030517578,-75.18201199320418,6.13875921469536,0.825212322701462,261.54281537227496,-75.1782421,6.1426339,1.594229892263675,350.31235824105767
35,5.710000038146973,-75.29000091552734,-75.2878937,5.715879,0.5649048304692144,690.7548713446341,-75.2941827,5.7134448,2.0706933835314043,599.7367174964114
36,5.207209587097168,-74.73632049560547,-74.7303188,5.2062264,0.2716618030037845,674.1931918276449,-74.73454110248177,5.206835357089557,0.9076885830794674,201.56476081246655
37,5.794160842895508,-75.84059143066406,,,0.0,,-75.840579,5.793809,1.9587577389329853,38.93718045038283
