Indice,Estadistica,Escenario,Periodo,Media_Historica,Media_Futura,Cambio_Relativo_Medio,Cambio_Relativo_Mediana,Cambio_Relativo_Min,Cambio_Relativo_Max,Cambio_Relativo_P25,Cambio_Relativo_P75
TP,mean,SSP2-4.5,2020-2040,2638.084056791418,2649.321566916073,0.5932876876218507,-0.14657747627068096,-4.596829472242877,7.779254847459691,-1.3691999417230059,2.525160136754317
TP,mean,SSP2-4.5,2040-2060,2638.084056791418,2637.723954144646,-0.23290520677454618,-0.5495724759561522,-5.236498798121158,8.02908020077718,-1.7167251571830444,0.7846873385841616
TP,mean,SSP2-4.5,2060-2080,2638.084056791418,2639.933233032227,-0.050569216933418926,-0.8205372955801804,-7.173107041424726,10.63093788720278,-2.3847047022451284,1.1251999727501492
TP,mean,SSP2-4.5,2080-2100,2638.084056791418,2670.2185952579275,1.0835870828324572,0.45388939955101454,-6.3424488421682685,14.044498793636432,-1.1407190559642153,2.3923304742679723
TP,mean,SSP3-7.0,2020-2040,2638.084056791418,2633.1261319867303,-0.07109262870149491,-0.7495966007240339,-4.911309618919275,5.656141992140077,-1.6881612363809344,1.2786869925366178
TP,mean,SSP3-7.0,2040-2060,2638.084056791418,2576.7156168859146,-2.6591645001393984,-2.879099033914299,-10.891509521473978,5.596859886027174,-4.298225557790224,-1.6221616182600767
TP,mean,SSP3-7.0,2060-2080,2638.084056791418,2548.945952615177,-4.1661569162118575,-3.9308164171577404,-22.006458877114884,5.955012062765691,-6.231527648595632,-2.0114794516431
TP,mean,SSP3-7.0,2080-2100,2638.084056791418,2487.70693240895,-6.5798664191156115,-6.718431970499017,-31.543142034706133,8.135082592477206,-9.003340757733774,-4.156739545101873
TP,mean,SSP5-8.5,2020-2040,2638.084056791418,2653.221549790326,0.5722521692086757,0.13678117163397893,-5.17382502000726,6.180822589157808,-1.0187389878806228,1.9398277519114762
TP,mean,SSP5-8.5,2040-2060,2638.084056791418,2588.251052641027,-2.204314169476305,-2.724976577037176,-11.61408953950908,6.602046635031305,-4.06512193477015,-1.231616919397321
TP,mean,SSP5-8.5,2060-2080,2638.084056791418,2501.5559942985983,-6.019527754397304,-6.274533021040325,-27.778358450172604,8.124051289012847,-8.219775873181737,-4.2773643179484
TP,mean,SSP5-8.5,2080-2100,2638.084056791418,2471.7294207404643,-7.165544404878376,-8.074852665958524,-38.057531511131096,10.367246699990606,-10.339370424977314,-4.7467000269955255
TP,median,SSP2-4.5,2020-2040,2631.2205123362824,2651.076269100414,0.98860817416664,0.1305808163460519,-4.740361461682609,10.695032435314026,-0.9597142622032399,2.474609546708053
TP,median,SSP2-4.5,2040-2060,2631.2205123362824,2634.946804271025,-0.06525343837146441,0.12334938397156131,-8.689177493944298,5.64795951306535,-1.6261053400017098,1.2173449153548148
TP,median,SSP2-4.5,2060-2080,2631.2205123362824,2644.80830835679,0.502499749861467,-0.1380240845772537,-5.999752714506772,12.045968780719297,-1.7341094558845866,1.6854523629155196
TP,median,SSP2-4.5,2080-2100,2631.2205123362824,2630.6785052131204,-0.23029446515297108,-0.5276618092774015,-9.744115768032799,12.660881881320082,-2.3243709878052075,1.413440085321474
TP,median,SSP3-7.0,2020-2040,2631.2205123362824,2623.3247129911533,-0.09742220468930395,-0.7712105133860134,-5.185903337302874,8.322866611028012,-1.961179986782814,1.052262500460495
TP,median,SSP3-7.0,2040-2060,2631.2205123362824,2569.733577827005,-2.6133286911686753,-2.8764133758347263,-12.428926634690049,6.72495941999874,-4.52039276029325,-1.3891172902828353
TP,median,SSP3-7.0,2060-2080,2631.2205123362824,2536.6729135849896,-4.332320893843833,-4.1260410294182766,-19.265749636709362,5.46046138291683,-6.3089895357192525,-2.07385107043173
TP,median,SSP3-7.0,2080-2100,2631.2205123362824,2465.9944868020452,-7.159527215539477,-6.931979954201671,-31.901599374387096,7.44799037973934,-9.809400876014688,-4.663540038374398
TP,median,SSP5-8.5,2020-2040,2631.2205123362824,2654.4681895895565,0.9744443904764473,0.4176654416044485,-4.83470445558429,8.917744033968287,-0.5567190314310813,2.087599436829737
TP,median,SSP5-8.5,2040-2060,2631.2205123362824,2567.433780607336,-2.7616283969658486,-3.065464049845156,-14.682686315395385,5.374189295855436,-4.389067989531434,-1.4495353598796634
TP,median,SSP5-8.5,2060-2080,2631.2205123362824,2490.8119800163718,-6.186782889240664,-6.2981133448786775,-31.09130318869034,7.495212648820436,-8.407971155728493,-4.095080112519358
TP,median,SSP5-8.5,2080-2100,2631.2205123362824,2459.0379337804457,-7.44925416001909,-7.9550896126969874,-40.71516783065592,10.521821565463549,-10.779312964538303,-4.324049780371866
TP,max,SSP2-4.5,2020-2040,3209.3712605554915,3238.961297535616,1.1306447992675324,1.1732692051100466,-7.354964466505666,12.014026570073097,-1.7387357594652204,3.3903339348561117
TP,max,SSP2-4.5,2040-2060,3209.3712605554915,3232.1475927016313,0.636130139621716,0.3862574700947494,-5.440185923054939,13.182910168179141,-1.0712288336447646,2.3022123521731808
TP,max,SSP2-4.5,2060-2080,3209.3712605554915,3194.5828000057445,-0.6286699001098838,-1.427477327063595,-8.765968552096465,9.53974978855212,-3.183386338123794,1.1823648245505292
TP,max,SSP2-4.5,2080-2100,3209.3712605554915,3382.1847400620404,5.198416976947624,4.286772333241489,-4.954962425112272,15.488561546140254,2.92554655287545,6.9231617148055555
TP,max,SSP3-7.0,2020-2040,3209.3712605554915,3193.6774293428307,-0.6887368449610197,-0.6131887486272932,-9.477347851890638,6.833106165437089,-2.330467347824724,1.0502649135424273
