Indice,Estadistica,Escenario,Periodo,Media_Historica,Media_Futura,Cambio_Relativo_Medio,Cambio_Relativo_Mediana,Cambio_Relativo_Min,Cambio_Relativo_Max,Cambio_Relativo_P25,Cambio_Relativo_P75
R95p,value,SSP2-4.5,2020-2040,491.1400050084731,509.40511216107535,3.386728830687426,3.06298183805437,-0.7213067254336161,10.519934047823497,1.8619010478598974,4.637303541734693
R95p,value,SSP2-4.5,2040-2060,491.1400050084731,515.0002942702349,4.522273440437476,4.182633577660574,-0.2107609833359475,13.64952285508026,3.447978791170526,5.214867805594451
R95p,value,SSP2-4.5,2060-2080,491.1400050084731,528.0917456503475,6.991117954572745,6.069300655474908,-1.565785056133398,18.508374962026593,5.1726244651014515,8.289052939159703
R95p,value,SSP2-4.5,2080-2100,491.1400050084731,535.2842421946806,8.381086188192064,7.549495841340714,-0.9766983022472522,19.310874683312953,6.402607079834891,9.682952038843881
R95p,value,SSP3-7.0,2020-2040,491.1400050084731,508.31955965827495,3.2674698393383745,2.922585542226446,-0.38231774808700575,8.596799042844244,2.3172837773758435,3.8364613127146105
R95p,value,SSP3-7.0,2040-2060,491.1400050084731,514.2253736877442,4.31681421486887,4.104964073121732,-4.912989331406208,13.547013549147902,3.229048895241701,4.918570937995156
R95p,value,SSP3-7.0,2060-2080,491.1400050084731,526.1846098507152,6.49522928200842,6.275848123760207,-10.963687597488706,18.34328563090693,5.195432054298972,7.606795169397209
R95p,value,SSP3-7.0,2080-2100,491.1400050084731,538.1564438584271,8.83222799022504,8.545006718317506,-18.943367500194498,24.892875060221957,7.356059456999841,10.23701346502158
R95p,value,SSP5-8.5,2020-2040,491.1400050084731,509.1657753349753,3.369314275132603,2.9699563575348273,-0.7725941939661651,10.602522787090859,2.2289565605801416,4.1238200011132635
R95p,value,SSP5-8.5,2040-2060,491.1400050084731,520.014469389074,5.420241061724802,5.035123175010735,-5.41125770184764,15.34118837434583,4.076205829012639,6.196360471983095
R95p,value,SSP5-8.5,2060-2080,491.1400050084731,534.08260085162,7.975668692860616,7.627647975439501,-16.15336908990076,22.172950518097014,6.370752803042259,8.929016383597332
R95p,value,SSP5-8.5,2080-2100,491.1400050084731,557.5862611927706,12.550808325238632,11.603290753197115,-22.535626805354482,29.58428222821081,10.276914163096079,14.001097085249992
