Indice,Estadistica,Escenario,Periodo,Media_Historica,Media_Futura,Cambio_Relativo_Medio,Cambio_Relativo_Mediana,Cambio_Relativo_Min,Cambio_Relativo_Max,Cambio_Relativo_P25,Cambio_Relativo_P75
RX5day,value,SSP2-4.5,2020-2040,116.47206987717573,121.85262055565329,4.351064718372018,4.059919796977518,-2.8013322462616475,13.353503797307548,2.578593342627569,5.69977143708518
RX5day,value,SSP2-4.5,2040-2060,116.47206987717573,123.48661693797392,5.776324840143502,5.606047527572725,-0.30194979532895877,14.49606374992782,4.212408860247262,6.977152089952389
RX5day,value,SSP2-4.5,2060-2080,116.47206987717573,126.00945729423972,7.754266365005131,6.97288900501914,-1.4023840097549651,19.93316341008749,5.850988614049589,8.857141935719982
RX5day,value,SSP2-4.5,2080-2100,116.47206987717573,128.1141676644718,9.438175789378006,8.852645879399596,1.8596763207040377,20.650166386502384,7.410360422373203,10.722736765817919
RX5day,value,SSP3-7.0,2020-2040,116.47206987717573,121.76356092789594,4.2526284898060664,3.910324107582811,-2.5284765194505585,12.808996231690204,2.8626076195463637,5.155527623378389
RX5day,value,SSP3-7.0,2040-2060,116.47206987717573,122.41014404745663,4.821930715151637,4.707248465983959,-2.719518297275778,15.411282179901804,3.3246332572591584,5.895347360471914
RX5day,value,SSP3-7.0,2060-2080,116.47206987717573,126.82651608635398,8.376910761325364,8.448911879372814,-8.07602809852587,20.779294105569754,6.293386344668959,10.157768223828525
RX5day,value,SSP3-7.0,2080-2100,116.47206987717573,130.16588056676528,10.991398958296134,10.591638039595534,-11.971333099175261,30.253904458664643,8.493096096423445,12.822549219939415
RX5day,value,SSP5-8.5,2020-2040,116.47206987717573,122.14704088772045,4.622358474731514,4.414506530628252,-2.3786266943674548,14.436220900126584,3.254150830140293,5.436470897268399
RX5day,value,SSP5-8.5,2040-2060,116.47206987717573,125.27809993519503,7.178530867333517,6.658349203041832,1.1308838964367052,18.8185731975696,5.28691566066087,8.29795623124231
RX5day,value,SSP5-8.5,2060-2080,116.47206987717573,129.49442796370562,10.420746202520872,10.079258773741644,-9.815785036052333,28.422546239147046,8.22551230071161,11.936562566244513
RX5day,value,SSP5-8.5,2080-2100,116.47206987717573,135.35363887113684,15.31842669483811,14.498193702358295,-15.360836549655001,36.11435296470542,12.265117885778723,17.46329502202634
