,Riesgo,Cantidad,Escenario,Horizonte
0,Alta,236,SSP2 4.5,2020-2040
1,Muy Alta,200,SSP2 4.5,2020-2040
2,Alta,552,SSP2 4.5,2040-2060
3,Muy Alta,544,SSP2 4.5,2040-2060
4,Alta,36,SSP3 7.0,2020-2040
5,Muy Alta,29,SSP3 7.0,2020-2040
6,Alta,25,SSP3 7.0,2040-2060
7,Muy Alta,18,SSP3 7.0,2040-2060
8,Alta,559,SSP5 8.5,2020-2040
9,Muy Alta,297,SSP5 8.5,2020-2040
10,Alta,271,SSP5 8.5,2040-2060
11,Muy Alta,597,SSP5 8.5,2040-2060
